study,model,n_rows,mae,rmse,r2
Mehak Bansal_2025,RF,18,26.38313812459279,27.844001752626504,-7.442025066661991
Mehak Bansal_2025,XGB,18,16.493091441966868,18.688477536296457,-2.8030424950460233
Mehak Bansal_2025,HistGB,18,13.029993622232052,14.77481753828528,-1.3769912609246773
Minghao Sui_2012,LR,90,37.5084357248554,45.950652147783835,-2.566394742493615
Minghao Sui_2012,KNN,90,36.16695906432748,42.04592070471342,-1.9860273820276713
Minghao Sui_2012,ANN,90,16.543633725493915,19.068251707779133,0.38585940653202755
Minghao Sui_2012,Cubist,90,26.83027301364475,30.34454736027542,-0.5552756742805178
Minghao Sui_2012,RF,90,31.497574399521003,35.455205204512986,-1.1232740825802905
Minghao Sui_2012,XGB,90,37.486343770225844,41.963120942973234,-1.974278374837923
Minghao Sui_2012,HistGB,90,32.891326577626714,36.71011797985334,-1.276237702774711
Mohamed E. M. Hassouna_2019,LR,11,56.78953346632011,58.785457743802,-13.949366017364923
Mohamed E. M. Hassouna_2019,KNN,11,27.531818181818185,31.362887013446034,-3.2551515624955325
Mohamed E. M. Hassouna_2019,ANN,11,70.55432157211844,72.82274101901686,-21.94124641954059
Mohamed E. M. Hassouna_2019,Cubist,11,30.876886055686256,33.575637906752696,-3.876761445654787
